time,ticker,volume,open,curr
2018-07-29T18:30:00Z,MYNC,2500,12,12
2018-07-29T18:30:00Z,NAKR,0,13,12
2018-07-29T18:30:00Z,NATN,74050,10,11
2018-07-29T18:30:00Z,PDSS,462363,15,16
2018-07-29T18:30:00Z,PEOP,7700,12,12
2018-07-29T18:30:00Z,POWR,0,8,7
2018-07-29T18:30:00Z,SHRX,116552,14,12
2018-07-29T18:30:00Z,SKBD,37600,11,12
2018-07-29T18:30:00Z,SKEI,0,6,7
2018-07-29T18:30:00Z,SMUG,935871,14,15
2018-07-29T18:30:00Z,SSS,3300,33,28
2018-07-29T18:30:00Z,STFP,0,14,14
2018-07-29T18:30:00Z,SWNC,7052,50,49
2018-07-29T18:30:00Z,TAG,3878,189,198
2018-07-29T18:30:00Z,TNAH,766262,13,15
2018-07-29T18:30:00Z,TNPT,44600,12,11
2018-07-29T18:30:00Z,TPEG,1400,30,28
2018-07-29T18:30:00Z,TPP,0,13,13
2018-07-29T18:30:00Z,TSRC,1600,43,44
2018-07-29T18:30:00Z,UNIB,124150,9,10
2018-07-29T18:30:00Z,VPTS,1024,1563,1561
2018-07-29T18:30:00Z,YIPP,0,9,8
2018-07-29T19:00:00Z,AAVL,15690,19,25
2018-07-29T19:00:00Z,ACFI,2000,14,12
2018-07-29T19:00:00Z,BB,1000,13,13
2018-07-29T19:00:00Z,BOTT,415044,15,15
2018-07-29T19:00:00Z,BUZZ,8844,26,19
2018-07-29T19:00:00Z,CHIA,3409,61,67
2018-07-29T19:00:00Z,CHPS,167600,8,10
2018-07-29T19:00:00Z,COFL,89200,12,10
2018-07-29T19:00:00Z,CYBU,0,6,6
2018-07-29T19:00:00Z,DROO,4000,12,13
2018-07-29T19:00:00Z,EEEEE,201712,15,14
2018-07-29T19:00:00Z,FAER,85250,10,10
2018-07-29T19:00:00Z,FISH,1631,38,47
2018-07-29T19:00:00Z,HELT,9975,20,19
2018-07-29T19:00:00Z,HUW,0,7,9
2018-07-29T19:00:00Z,KAUF,18155,18,17
2018-07-29T19:00:00Z,KBAT,0,8,7
2018-07-29T19:00:00Z,KSON,3101,1054,1066
2018-07-29T19:00:00Z,LDSC,200,12,14
2018-07-29T19:00:00Z,LUPE,57050,10,9
2018-07-29T19:00:00Z,MPC,0,6,6
2018-07-29T19:00:00Z,MYNC,2500,12,12
2018-07-29T19:00:00Z,NAKR,0,13,12
2018-07-29T19:00:00Z,NATN,74050,10,11
2018-07-29T19:00:00Z,PDSS,468363,15,16
2018-07-29T19:00:00Z,PEOP,7700,12,12
2018-07-29T19:00:00Z,POWR,0,8,7
2018-07-29T19:00:00Z,SHRX,116552,14,12
2018-07-29T19:00:00Z,SKBD,37600,11,12
2018-07-29T19:00:00Z,SKEI,0,6,7
2018-07-29T19:00:00Z,SMUG,956704,14,14
2018-07-29T19:00:00Z,SSS,3300,33,28
2018-07-29T19:00:00Z,STFP,0,14,14
2018-07-29T19:00:00Z,SWNC,7052,50,47
2018-07-29T19:00:00Z,TAG,3878,189,199
2018-07-29T19:00:00Z,TNAH,785645,13,16
2018-07-29T19:00:00Z,TNPT,45600,12,11
2018-07-29T19:00:00Z,TPEG,1400,30,28
2018-07-29T19:00:00Z,TPP,0,13,13
2018-07-29T19:00:00Z,TSRC,1600,43,44
2018-07-29T19:00:00Z,UNIB,128150,9,11
2018-07-29T19:00:00Z,VPTS,1024,1563,1560
2018-07-29T19:00:00Z,YIPP,0,9,8
2018-07-29T19:30:00Z,AAVL,15690,19,24
2018-07-29T19:30:00Z,ACFI,2000,14,13
2018-07-29T19:30:00Z,BB,1000,13,13
2018-07-29T19:30:00Z,BOTT,483294,15,15
2018-07-29T19:30:00Z,BUZZ,9244,26,19
2018-07-29T19:30:00Z,CHIA,3409,61,69
2018-07-29T19:30:00Z,CHPS,180100,8,10
2018-07-29T19:30:00Z,COFL,95700,12,11
2018-07-29T19:30:00Z,CYBU,0,6,6
2018-07-29T19:30:00Z,DROO,4000,12,13
2018-07-29T19:30:00Z,EEEEE,201712,15,14
2018-07-29T19:30:00Z,FAER,94250,10,10
2018-07-29T19:30:00Z,FISH,1631,38,46
2018-07-29T19:30:00Z,HELT,9975,20,19
2018-07-29T19:30:00Z,HUW,0,7,9
2018-07-29T19:30:00Z,KAUF,20155,18,17
2018-07-29T19:30:00Z,KBAT,0,8,7
2018-07-29T19:30:00Z,KSON,3106,1054,1068
2018-07-29T19:30:00Z,LDSC,10700,12,15
2018-07-29T19:30:00Z,LUPE,57050,10,9
2018-07-29T19:30:00Z,MPC,0,6,6
2018-07-29T19:30:00Z,MYNC,2500,12,12
2018-07-29T19:30:00Z,NAKR,0,13,12
2018-07-29T19:30:00Z,NATN,75050,10,11
2018-07-29T19:30:00Z,PDSS,470863,15,16
2018-07-29T19:30:00Z,PEOP,7700,12,12
2018-07-29T19:30:00Z,POWR,0,8,7
2018-07-29T19:30:00Z,SHRX,116552,14,12
2018-07-29T19:30:00Z,SKBD,37600,11,12
2018-07-29T19:30:00Z,SKEI,0,6,7
2018-07-29T19:30:00Z,SMUG,956704,14,14
2018-07-29T19:30:00Z,SSS,3500,33,28
2018-07-29T19:30:00Z,STFP,0,14,14
